Folder,Stature_Height,Cervical_Height,Axilla_Height,Waist_Height,Hip_Height,Crotch_Height,Knee_Height,Neck_Cir,Burst_Cir,Waist_Cir,Hip_Cir,Thigh_Cir,Upper_Arm_Cir,Upper_Arm_Length,Arm_Length,Biacromial_Breadth_Length
F013,152,127.5,109.3,90.2,71.5,65,38.2,36.2,101.9,99.7,105.4,64.4,32.8,28,50.5,33.8
F016,164.1,136.4,120.2,98.9,79.7,71,43.2,32.8,90.6,78,102.7,61.7,31.4,29.7,52.3,35.5
F053,156.4,134.3,117.6,98.4,76.5,68.9,41.7,35.2,102.1,90.3,102.1,59.9,34,29.5,51.5,36
F071,166.5,142.2,123.8,104.9,80,71.4,41.8,39,103.3,89.7,109.2,70,38,32.7,57,35.4
F089,149,122.9,109.5,92.2,71,62.9,36.7,31.4,87.7,71.1,86.7,52.5,28,28.5,48.5,33
F093,172.2,144.8,129.4,108.3,85.4,77.4,43.7,32.5,83.6,69.4,96.5,55.2,27,32.9,56.8,37.4
F095,157.8,131.3,115.6,96.6,74.5,66.6,38.8,33,90.8,79,96.7,57.5,29,29.5,50.5,34.6
F098,169,140.1,126.5,102.2,83.4,76.3,42.3,29,76,59.5,86.5,50,25,31.2,53.7,36.5
F109,156.7,129.8,113.3,95.8,75.5,67.1,37.7,34.7,94.7,80.3,95.7,57.9,30.5,29,51,35.8
F117,169.3,141.5,122.7,102.8,80.6,71.9,43.4,37.5,110.8,98.5,102.2,58.1,34.2,31,55,41.1
F153,158.1,133.4,119.3,98,77.4,70,40.6,28.8,78.5,66.2,85.3,51,24.7,29.5,51.1,34.3
F201,145.2,120,103.9,88.6,66.2,60,35.9,34,93.5,89,93.9,54.6,30.2,28.3,49.5,33.3
F218,162.4,137.5,123.1,99.8,80.2,75.7,43.8,29,78.8,61.7,84.8,48.4,24,29.4,52.2,34.3
F227,144.9,121.4,103.6,83.4,68,59,35.5,31,91,80.2,92,52.5,27.5,25.5,44.5,32.8
F236,160.3,132.8,118.5,96.8,77.6,71.3,41.2,31.5,86.4,73,89.6,50.4,27.7,30.8,53,32.5
